,Prediction,Label,Score,Cosine Similarity
42,have a paymat that in question can me redock to me at my last five transactions,i ve been questioned document my last five transactions,1.3333333333333333,0.7776052951812744
43,a that i m not able to use my cod it s not working at the moment why ms my payment declined,hi there i m not able to use my card it s not working at the moment why was my payment to kind,0.2608695652173913,0.9101986885070801
44,i now just one o check my recent transactions,my dad wants to check my recent transactions,0.625,0.6619083285331726
45,ay i m on your ap and my husband and i are trying to st up a join to count i can se where i set up an acount by myself but i m not sure whe re to go to set up a joint acount can you help me with it s please thank you,i m on your ass and my husband and i are trying to set up a joint account i can see where i set up an account by myself but i m not sure where to go to set up a joint account can you help me with this please thank you,0.25,0.8594329953193665
46,holo any some help with the mobile up i ve trive to lok in and it s giving me an airacode,hello i need some help with the mobile app i ve tried to login as giving me an error code,0.6,0.7062735557556152
47,how igrat can ye tel me my acount bowins,hello please can you tell me my account balance,0.6666666666666666,0.46342241764068604
48,i i d like to set out a bank acount it for myself in my partnerl,hey id like to set up a bank account for myself and my partner,0.5714285714285714,0.7748048901557922
49,i yes im i want to change my adres,hi yes i want to change my address,0.375,0.7222989797592163
50,i i m just clined because i would like to imediately freze my cod stop my cod an i would like it i be canteled wily because i have lest my cod sir i gues want it to be frozen sir that noni l conmit tor i one to make sure that nerve transaction can inded hapen al my god sir could le flease my cod or camphlet think you,hi i m just calling because i would like to immediately leave my car my card i would like it to just be cancelled really because i broke my car in the womb,1.606060606060606,0.6819037795066833
51,ilia hio ti ti lon,i would like to talk about a business loan,1.0,0.4121827185153961
52,com me with my cod my payment was declined,can you help me with my card my payment was declined,0.36363636363636365,0.7594136595726013
53,i d like to make a kind of large payment why do i ned a confirmation cod i ve rethieved it but i l not showd what to do with it,i d like to make a kind of large payment,2.1,0.687545120716095
54,howl i go about seting apo a joint acount for my partner n myself,how to go about setting up a joint account for my partner and myself,0.42857142857142855,0.5482030510902405
55,how i o o e mi ion i tacount o wi o o on ma acount,how do i transfer money from my account to my 718 account,1.25,0.48087751865386963
56,r ra my god,please freeze my card,0.75,0.528120219707489
57,o like snot a yew won esosoy,i would like to start a new business loan,0.7777777777777778,0.4674072265625
58,a trying to make a lodge i m trying to pay a lodge rmount of money abslanc to is bank acount it is given me a confirmation code my asimas what do i do with this,trying to make a large transfer large amount of money in his bank account is giving me a confirmation code what do i do with this,0.6923076923076923,0.8203287124633789
59,i lik to be a o a direct efit,i d like to cancel a direct debit,0.75,0.585171639919281
60,i d like to to put that money into my bank acount,i d like to deposit money into my bank account,0.4,0.773581862449646
61,i am trying to use to me apt but the apt of not lard it capes fraving,i m trying to use the new app but the app does not load it keeps freezing,0.5294117647058824,0.6280568242073059
62,i on so i n using yeur on ap on my phone and on the ab isn t working properly so i was wondering if your guides could help me,hi so i m using your app on my phone and the app isn t working properly so i was wondering if you guys could help me,0.37037037037037035,0.7982878088951111
63,wel on lyng canigh ind a nopsionita set up an acount for me in my potn,where online can i find an option to set up an account for me and my partner,0.6470588235294118,0.5131972432136536
64,iaicard,i seem to be having trouble with using my card,1.0,0.3558186888694763
65,i i i cal because i want to ask about yousin my clark an nigeria im i l be going there in about two weks and i just wanted to cal of to fet if i neded two i change anything to my acount if there anything i ned to do before t you thin this card an nigeria thank you,hello i am called because i want to ask about using my card in nigeria i ll be going there in about 2 weeks and i just wanted to call to see if i needed anything to my account is there anything i need to do before using gift card in nigeria thank you,0.46296296296296297,0.742107093334198
66,a mia a aia,i haven t told you on my case is called i would like to make the payment please,1.0,0.46499788761138916
67,i ak acmaly sang that i want to make a unontpament,i just received a text message saying that i want to make a large payment,0.5333333333333333,0.5242685079574585
68,,i would like to say one of my bill,1.0,0.32490304112434387
69,aou te ama aorlarg amim,how do i use the sms code sent for a large payment,1.0,0.517751932144165
70,i the money dis not like i o e compan i haven t i in it ol my ha an a any notin had a know i i o i to t to to thank you,hi good morning to you don t like to make a complaint i ve been trying to look up my house i don t know why thank you,1.1071428571428572,0.6605080366134644
71,i d like to know what it he tikes to get a jo an acount with my pwt on on acow much the tase af for the acount for an extracard thank,hi id like to know what it takes to get a joint account with my partner how much the fees after the account for an extra card thanks,0.6428571428571429,0.7210870385169983
72,you thont a pon avation that you havatevit wit an that you want to pay bo you want make payment i when ta s lyke debic aucredic carg,you phone up an organisation that you have a service with those want to pay a bill payment debit or credit card,0.9545454545454546,0.5681461095809937
73,i m trying to ow ha war now mi aba i ge to get heur co en to my bown,i m trying to pay a large amount of money and i need to get your code sent to my phone,0.5714285714285714,0.4819434881210327
74,i io i i i ia an,what is the maximum amount that i can withdraw from the atm,0.9166666666666666,0.43527883291244507
75,ton at o longinto me thin alying me to i tot cape them turning me down not n tat acact my yown acoupo,log into reason around materials keep getting me down,2.3333333333333335,0.47281208634376526
76,i am caling cause thou ould like to set up an acount that in join to with my partner in then copable and an there a jon to count but i can fe on the ha,i am calling because i would like to set up a joint with my partner as possible and is there a bunny,1.0909090909090908,0.608306884765625
77,god morning yes i was wondering if you could tel me what my maxim eight m woithdrawa lem it would be on this acount yes is wonder homi wul at drongmit omni am wuld me,good night i was wondering if you could tell me what my maximum atm withdrawal limit would be on this account,1.0476190476190477,0.6232942938804626
78,i am just oing if i could a tat a hop of my latest trans i just matur ovling ow cay on my acount not shopers any cayments i bad ore to me ive not ben able to a justifi but however you can help me he tis,hi i was just wondering if i could get a hold of my latest transactions just make sure everything s ok on my account not sure if there s any payment ipad recently have not been able to justify but hopefully you can help me,0.6444444444444445,0.6478822231292725
79,,do i need to change my address,1.0,0.3640720248222351
80,,i d like to see my direct debit,1.0,0.39169976115226746
81,why i m duscoined because the aut that i usualy useful my bank is not working properly as son as i opente op it just done lod and quit i knorin my acount balance is a whenever i am able to get on the a it s soling my acount balance long i know that i have an acount balance ot its hire it wil not nsure me that im and i am ortir just being locked out thereof on every mesages coming out saying that i the ap is kind to be fixed but i just ou canot get on it long enough im the i would like some help because the ap is prety defective i ve already tried to i we tot the at least out my flun but the apertures realy faulty raow,hi i m just calling because the after that usually used my bank is not working properly as soon as i open the app it just my account balance at whenever i am able to get on the app it s only my account balance wrong i am,2.2291666666666665,0.7332624197006226
82,,i m calling about new business loan,1.0,0.39372241497039795
83,ai atrititocompanyitni otaictait,i have a transaction to a company i don t know and i was wondering what i can do about this,1.0,0.39264148473739624
84,i hav under ging nowt i lik pa tis cw ta i nowt again the busines acont im cany aom,hi yeah i wonder if you can help i d like to discuss taking a loan out against the business account can you help me on this,0.8888888888888888,0.48278599977493286
85,i am i mus tok al my transactions of my corden if you like tehasen tme some y yourcuistreason thank you,i took all my transaction on my card,2.25,0.5184184312820435
86,,the app is malfunctioning,1.0,0.393735408782959
87,,i need to update my address,1.0,0.4042394161224365
88,i ininew oieio,i d like some information on getting a new or existing loan,0.9166666666666666,0.4306601285934448
89,a no i m going over thed to america on the thurd day for two weks and i wante now if i could use my card there tan you let me now fam if if i cao if i ned pay any charges,hello i m going overseas to america on thursday for 2 weeks and i wanted to know if i could use my card but can you let me know if it s ok or if i need to pay any charges,0.5365853658536586,0.8050113916397095
90,i do n corner about recent payments i ve knotice on my transactions i don t reconize can you er come and bet more about this one place it is e twelve pounds at the spar on wednesday the twelfth o march two thousand e nineten on oso kn you telin my latest transactions er from the last two eks i go,i m calling about a recent payment i ve noticed on my transactions i don t recognise can you tell me a bit more about this one please it is 12-lb at the spar on wednesday the 12th of march 2019,0.9024390243902439,0.8023599982261658
91,hlo i would like to se my lagtest transactions yes yas this on o i i recognize this payment how i thank you,hello i would like to see my latest transactions,1.8888888888888888,0.6342711448669434
92,o o ont ot go go go we g n a no go geble ge y god,i m about to travel in 2 weeks and i want to know if i ll be able to use my card,1.0,0.4970961809158325
93,avaeli ado ava iami,i m calling about a business loan to help fund my business,1.0,0.4967271089553833
94,iot,how can i use the website to set up a joint account,1.0,0.3393082916736603
95,ia,i want to change my address,1.0,0.406909316778183
96,halo i m goking to change my adres how would i go about changing this,hello i m looking to change my address how would i go about changing this,0.2,0.8480468988418579
97,helo i am trying to use your ap on an the bind loyd spine but unfortunately an it does at work and can you give me some indication when the ap wil be working please a cay thank you by,hello i m trying to use your app from the and the bank lloyds bank but unfortunately it doesn t work can you give me some indication when the app will be working please ok thank you bye,0.47368421052631576,0.8313803672790527
98,ahi i am coling to day to osk about my aexisting businesler,hi i am calling today i asked about my existing business loan,0.75,0.6228282451629639
99,ba ye thank ye,ok thank you,1.0,0.5735243558883667
